STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,COMMENT_TS,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_VALUE,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSE,WB_WDI_AG_LND_IRIG_AG_ZS,_T,_T,_T,PT_ALAR,_Z,_Z,_Z,2011,_Z,RATIO,2,WB_WDI,P1Y,Agricultural irrigated land (% of total agricultural land),0,WB_WDI,PU,3.7186586798141907,A,Annual,West Bank and Gaza,Agricultural irrigated land (% of total agricultural land),Total,All age ranges or no breakdown by age,Total,Percentage of agricultural land,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSE,WB_WDI_AG_LND_IRIG_AG_ZS,_T,_T,_T,PT_ALAR,_Z,_Z,_Z,2006,_Z,RATIO,2,WB_WDI,P1Y,Agricultural irrigated land (% of total agricultural land),0,WB_WDI,PU,3.5374301920310063,A,Annual,West Bank and Gaza,Agricultural irrigated land (% of total agricultural land),Total,All age ranges or no breakdown by age,Total,Percentage of agricultural land,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSE,WB_WDI_AG_LND_IRIG_AG_ZS,_T,_T,_T,PT_ALAR,_Z,_Z,_Z,2013,_Z,RATIO,2,WB_WDI,P1Y,Agricultural irrigated land (% of total agricultural land),0,WB_WDI,PU,3.6532183671465157,A,Annual,West Bank and Gaza,Agricultural irrigated land (% of total agricultural land),Total,All age ranges or no breakdown by age,Total,Percentage of agricultural land,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFG,WB_WDI_AG_LND_IRIG_AG_ZS,_T,_T,_T,PT_ALAR,_Z,_Z,_Z,2012,_Z,RATIO,2,WB_WDI,P1Y,Agricultural irrigated land (% of total agricultural land),0,WB_WDI,PU,5.464999736245186,A,Annual,Afghanistan,Agricultural irrigated land (% of total agricultural land),Total,All age ranges or no breakdown by age,Total,Percentage of agricultural land,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ALB,WB_WDI_AG_LND_IRIG_AG_ZS,_T,_T,_T,PT_ALAR,_Z,_Z,_Z,2012,_Z,RATIO,2,WB_WDI,P1Y,Agricultural irrigated land (% of total agricultural land),0,WB_WDI,PU,17.03987347040706,A,Annual,Albania,Agricultural irrigated land (% of total agricultural land),Total,All age ranges or no breakdown by age,Total,Percentage of agricultural land,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,DZA,WB_WDI_AG_LND_IRIG_AG_ZS,_T,_T,_T,PT_ALAR,_Z,_Z,_Z,2012,_Z,RATIO,2,WB_WDI,P1Y,Agricultural irrigated land (% of total agricultural land),0,WB_WDI,PU,2.5192405754937597,A,Annual,Algeria,Agricultural irrigated land (% of total agricultural land),Total,All age ranges or no breakdown by age,Total,Percentage of agricultural land,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARM,WB_WDI_AG_LND_IRIG_AG_ZS,_T,_T,_T,PT_ALAR,_Z,_Z,_Z,2012,_Z,RATIO,2,WB_WDI,P1Y,Agricultural irrigated land (% of total agricultural land),0,WB_WDI,PU,9.174093879976233,A,Annual,Armenia,Agricultural irrigated land (% of total agricultural land),Total,All age ranges or no breakdown by age,Total,Percentage of agricultural land,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,UZB,WB_WDI_AG_LND_IRIG_AG_ZS,_T,_T,_T,PT_ALAR,_Z,_Z,_Z,2018,_Z,RATIO,2,WB_WDI,P1Y,Agricultural irrigated land (% of total agricultural land),0,WB_WDI,PU,14.632273131585444,A,Annual,Uzbekistan,Agricultural irrigated land (% of total agricultural land),Total,All age ranges or no breakdown by age,Total,Percentage of agricultural land,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFG,WB_WDI_AG_LND_IRIG_AG_ZS,_T,_T,_T,PT_ALAR,_Z,_Z,_Z,2010,_Z,RATIO,2,WB_WDI,P1Y,Agricultural irrigated land (% of total agricultural land),0,WB_WDI,PU,5.000395600917794,A,Annual,Afghanistan,Agricultural irrigated land (% of total agricultural land),Total,All age ranges or no breakdown by age,Total,Percentage of agricultural land,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ALB,WB_WDI_AG_LND_IRIG_AG_ZS,_T,_T,_T,PT_ALAR,_Z,_Z,_Z,2010,_Z,RATIO,2,WB_WDI,P1Y,Agricultural irrigated land (% of total agricultural land),0,WB_WDI,PU,17.02322483975693,A,Annual,Albania,Agricultural irrigated land (% of total agricultural land),Total,All age ranges or no breakdown by age,Total,Percentage of agricultural land,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
