Crop,Year,Mean_Temp_Max,Mean_Temp_Min,Total_Rainfall,Avg_Humidity,Avg_Wind_Speed,pH,N_kg_ha,P_kg_ha,K_kg_ha,Organic_Matter,Soil_Texture,Bulk_Density,Rainfall_Adequacy_Index,Irrigation_Available,Water_Table_Depth,Runoff_Index,source
Groundnut,2014,31.065464262926568,19.404771446736028,1271.08,59.31277226026787,2.1507686010100064,5.905971178078992,74.21761579274121,24.413350995657495,70.94682832043942,1.858761329145595,Sandy Loam,1.478965336473237,0.49055942376959116,0,3.9188567462971875,0.2662999948346724,gaussian
Tomato,2021,30.2693259383882,19.177795560773088,1629.65,63.619724821013804,2.080617974533799,6.361259489211588,91.02783660516673,29.915501949322447,48.051149853119284,2.3090593254975724,Sandy Loam,1.341752192025857,0.6013650110943782,1,2.826372858668279,0.5433289600808237,gaussian
Sorghum,2013,30.348314933835805,18.581675918146452,1677.56,59.870859536195724,2.287914565883113,5.877277415489375,94.40936344391152,35.712097178522725,84.64946370334917,2.987999877499089,Sandy Loam,1.399194382728565,0.6645521056910342,1,2.283252616591671,0.5162751074157137,gaussian
Onion,2016,31.40326037350574,19.441276185489755,969.99,65.52737181844458,2.0465909929352155,6.249943906351119,95.21932075670124,49.19343927206042,76.23501212621848,2.6258117659836073,Loamy,1.4077816550526496,0.8216393079633546,1,2.2139317658872883,0.5789191166566423,gaussian
Cassava,2012,30.969200360498085,19.06701961669644,1009.77,68.52366641995476,2.0308143134369594,5.964830442595437,83.3031953089288,27.626712515683153,84.37638373982043,3.172087424469896,Loamy,1.2462084507673794,0.5699195550466856,1,1.8554911280546236,0.6508478081202553,gaussian
Maize,2015,31.357797126036697,19.624356164383563,1172.41,61.590925107697416,2.0790609793664556,6.274416691541896,76.69472357810527,41.25504827844979,84.55310078024863,2.2735289824739406,Loamy,1.3773048557395289,0.4498933938146381,0,2.78776009679639,0.5210772532959732,gaussian
Sorghum,2015,31.60410958904109,19.60564247090174,734.67,68.5698508716005,2.0118356164383564,5.518057772347716,63.826265402059015,31.61794774868035,63.462648255708274,2.60480530778302,Sandy Loam,1.2722798548701502,0.46777385817897077,0,3.8379218341721604,0.37480377207307325,gaussian
Sugar Cane,2014,30.236668029250552,18.82574408797773,1869.15,59.8515746238141,2.2634096296518043,5.500515222848568,95.10235723225536,33.74631867389708,66.21086535599446,2.3488407294141624,Clay Loam,1.378443723239538,0.5547884792631805,0,3.6298277084349486,0.5156515005058647,gaussian
Groundnut,2014,30.850625409097994,19.438104069386547,1972.56,58.96149708075812,2.339780821917808,5.851315198585201,79.71253355651947,28.303588762737434,79.9064561081074,1.9389878597796841,Sandy Loam,1.211133465314029,0.5681256181945491,0,2.834971759675632,0.3020499087014022,gaussian
Cowpea,2015,31.11391208799824,19.169815310545225,1383.45,59.38986403196811,2.2469675351661507,5.837550677312769,71.73285916620254,41.03425661868336,70.98630199271707,2.647052437087165,Loamy,1.3504600493095311,0.7544738589887361,0,1.0862042315956415,0.6306890853864247,gaussian
Pepper,2016,30.801417634112823,19.036737326828245,1563.4,59.149297611307844,2.3091220495212377,6.0041673995748015,40.104394312975344,16.781157846722436,36.31149395101605,1.3281759499306454,Sandy Loam,1.424854547263995,0.33337819059572293,0,4.325964007487951,0.17079634427690765,gaussian
Yam,2014,30.901638498187516,18.98851827641973,2141.61,58.96028854807774,2.339780821917808,6.201962061132677,105.25554051425274,47.334133003849715,93.03008487414068,3.295911259424181,Clay Loam,1.2141856072947204,0.9167615667930926,1,1.0862042315956415,0.6978102774589291,gaussian
Maize,2015,30.822635581651095,19.143780626265066,1198.47,64.78574902865807,2.063466306798696,6.030537283516008,70.18629684593657,31.914854494945885,59.7654056726491,1.7037497844941867,Sandy Loam,1.2982271116775528,0.5562751253781082,1,3.9886085025916103,0.4208226839714602,gaussian
Sugar Cane,2015,29.51841095890411,18.557123287671235,2435.83,66.4824959086221,2.2253093983862398,5.922542351958455,120.15178122885783,46.078115030501436,126.24646848998496,3.2642840363492462,Sandy Loam,1.3315429598345505,0.7877251126808744,1,1.2351756190694338,0.5673738081981554,gaussian
Pepper,2015,30.569408127883293,19.15132467709399,1320.02,59.520605758182064,2.122944306585285,5.693898416416172,57.88208153050377,26.57385387357064,60.46023985540382,1.8498761094254834,Sandy Loam,1.4487480213389259,0.7603482060108941,0,3.5175881623045875,0.38665018992779143,gaussian
Yam,2021,29.967011805239423,18.703218141778148,2108.16,63.636672939371685,2.2347370065042336,5.986719283173976,105.69575852165572,41.45868429130023,90.73574719131547,3.6730387693376993,Loamy,1.278998612132406,0.6807334192603394,1,2.778320532600066,0.7309552931122351,gaussian
Maize,2013,31.05858417004241,19.02584314306525,1343.51,59.024081741857984,2.2669819644064813,5.8655098222934825,65.60613439766648,30.43616778588391,50.95868767286193,2.07011658755769,Sandy Loam,1.3618308036494067,0.5591829725688395,0,4.170031657417283,0.2410393442092269,gaussian
Cowpea,2013,30.627781426152886,18.935492906732435,1517.42,63.0392475273793,2.174952258278315,6.108479592505389,66.41928455532245,37.516097054001094,55.79722636812421,2.5143439962096847,Clay Loam,1.2785062508648262,0.6013878575939975,1,2.9196430906271047,0.4691350088349605,gaussian
Pepper,2021,30.366491432418023,19.050392357206764,2326.41,59.03379795660316,2.339780821917808,6.517990715009768,141.08919754920993,45.36222003343856,104.40112224906399,3.733337273534185,Sandy Loam,1.2519861868827382,0.7376880435950621,1,1.9209172459812898,0.7474903971911532,gaussian
Rice,2011,31.570013019073794,19.151551208744696,984.31,64.66937083594945,2.113745545770955,5.689163524940863,68.8013228050874,40.67207008443721,61.48139626281215,2.167332961887933,Clay Loam,1.3917158987190854,0.7374316546553867,1,3.3424485193211204,0.31889336422371517,gaussian
Sweet Potato,2011,31.60410958904109,19.08743190416119,963.19,59.0534879809974,2.2928474193608297,6.038524732977143,99.8429840968313,35.66860896048185,89.8216222385665,2.9265821446971207,Sandy Loam,1.2977019677515067,0.6123757310505757,1,2.074655732866667,0.5565814190023398,gaussian
Sorghum,2015,29.786387198571177,18.61979778677066,1837.33,69.87245834655064,2.081763377203386,5.968560692026951,74.72371762099702,25.937842570707502,55.038779271291226,1.9421935838143092,Sandy Loam,1.3922250602450497,0.5597214741713472,0,3.455018171966028,0.41713660730366053,gaussian
Millet,2021,30.872785062241245,19.624356164383563,1704.78,62.36417200752976,2.12787040774685,6.056398443270644,67.58326999456968,18.768780235354342,43.19929781210657,1.7148870858011676,Loamy,1.4733660852254102,0.43290878495141616,0,4.5086348943295285,0.28174059604970014,gaussian
Groundnut,2011,30.471513321085638,18.557123287671235,1399.33,67.82318817164777,2.138706247972737,6.152030426292516,141.44281872825096,30.35912284123458,67.18771231602197,2.4437085145187645,Sandy Loam,1.2846305039479293,0.5796750542913127,1,3.5063962543482354,0.4202566236270567,gaussian
Cassava,2021,29.944544453603,18.876449174219054,1897.71,59.03886003753033,2.2340235738360303,6.123035716890138,42.76758733214113,24.558431844621182,36.31149395101605,1.3764350893637303,Sandy Loam,1.528400615473161,0.2698576356003253,0,4.8761329431782805,0.1570785592102996,gaussian
Soyabean,2021,30.66404446738882,19.223087114421926,1397.72,65.40910227467293,2.0802703682463464,6.342148085880932,76.87086564176856,42.99551256064811,55.762336959421425,1.5893415109414746,Clay Loam,1.26844133046988,0.5117760729434115,1,3.6790301766005697,0.7762423000629817,gaussian
Maize,2015,30.471403955893063,19.185617257888737,1756.66,62.620786834396995,2.149758164049969,5.748502806593577,102.92888079468482,34.32576194763173,101.34345276194456,3.0646238758962765,Loamy,1.3711096354830252,0.6087587655701041,0,1.4671954051756266,0.5516585953426993,gaussian
Sweet Potato,2015,29.71458297654267,18.557123287671235,1522.92,68.97566309531166,2.0495728204720907,6.022181987636188,61.67492295276218,27.195428111489463,47.06505924061491,2.102438950782754,Sandy Loam,1.4450032553561847,0.5752859266352841,0,3.7031010056630436,0.4069779342462674,gaussian
Millet,2012,31.60410958904109,19.239520383604486,891.39,58.96365225187178,2.2594482215284106,6.204079279199397,108.16302011385305,47.295441122379,118.75055351022837,2.8550237889107155,Loamy,1.2611891246899571,0.8399704382415463,1,1.887809516704749,0.6958804021029455,gaussian
Groundnut,2011,31.214892022620795,18.86761681548632,852.61,65.32743632579547,2.0451528552936242,6.494948038164485,133.09922801609673,36.2604908620838,86.22131736595303,3.0245987807642667,Clay Loam,1.2763156471515331,0.6242866998444736,0,2.640670449304391,0.5280724429845737,gaussian
Maize,2021,29.58037838304835,18.65995199170629,2268.65,68.07469794790613,2.1355849713892354,5.601408638074035,52.67187469125813,20.458310977445507,67.76820614043089,1.9505391631313491,Loamy,1.4143750434085278,0.3915709481729541,0,4.304686050858535,0.37933352011859944,gaussian
Ginger,2016,30.79633057002258,18.956988786246242,1738.58,59.00873019637127,2.339780821917808,6.03066060279935,84.49647795615071,38.81698215542704,72.80600503291853,2.8985965397978912,Loamy,1.2798861373221122,0.657591853723174,0,3.3821490252600697,0.6399831589278439,gaussian
Maize,2012,31.104457536524524,19.26895693734831,1133.84,66.56451692056926,2.053316055075597,6.253323720475314,98.87588484232566,40.18036897176566,62.58658878345553,2.8938276255122926,Sandy Loam,1.1523978865332123,0.5458353416865824,1,2.6252141386392474,0.5863050214780208,gaussian
Ginger,2021,29.8658889083181,18.841637647851467,2158.97,61.865739939807604,2.2003721527110933,5.602420037962856,64.48289735080965,33.41031313256525,65.45280736889782,2.582737177079417,Loamy,1.4659504892806836,0.41583064435747374,0,3.0050290947974183,0.5077785374706744,gaussian
Soyabean,2011,31.60410958904109,19.624356164383563,738.48,59.79480889857067,2.0404407740848747,6.546777063014329,69.59896197395376,37.26925693503347,65.37987182143175,1.5936641806858864,Sandy Loam,1.3269291177236717,0.7857061575557891,1,2.2085464861222732,0.28836595552718364,gaussian
Okra,2015,30.52177333809186,19.11730192835455,2080.21,59.53948136460329,2.307503124128003,5.976192940578018,96.76938409157411,32.55514333157235,51.88941257916598,1.7871072901282101,Sandy Loam,1.3431033796101755,0.46969223504013957,0,3.244377838102352,0.35164095095925507,gaussian
Sorghum,2012,31.60410958904109,19.532187645643006,815.17,61.33068236092447,2.050705170148379,6.170507553342185,82.35661840791632,33.8382796591449,51.637328825726186,2.3058715890362427,Sandy Loam,1.3411563364376113,0.5616169745923445,0,2.271868403857372,0.46584082789256026,gaussian
Tomato,2014,30.923184032609495,19.140734241458247,1466.06,59.813209137060994,2.210507019581172,5.845511543551737,50.8341556606681,25.501105666414944,44.375479546042726,2.2272551340893174,Sandy Loam,1.4213182207111401,0.4258877218770456,0,3.459757935990769,0.2888527993250974,gaussian
