Year,T2m_Max,T2m_Min,Precipitation,Relative_humidity_2_m,Wind_speed_2_m
2010,33.55,14.2,0,26.13,2.92
2010,33.37,13.49,0,23.75,3.11
2010,32.23,12.44,0,22.46,3.36
2010,32.74,12.34,0,25.8,1.91
2010,32.37,13.9,0,30.21,1.67
2010,33.07,15.06,0,31.66,1.6
2010,33.71,16.65,0,35.59,1.61
2010,34.74,16.32,0,32.48,1.41
2010,34.8,16.15,0,32.79,1.66
2010,34.33,16.35,0.01,31.68,1.36
2010,35.07,15.11,0,24.06,2.38
2010,34.86,15.29,0,22.04,3.66
2010,35.41,15.76,0,23.56,3.02
2010,34.34,15.22,0.01,24.17,1.85
2010,34.09,16.97,0.06,23.62,1.73
2010,34.97,15.52,0,22.85,1.78
2010,34.14,16.42,0,23.2,3.55
2010,31.75,13.76,0,21.76,4.83
2010,32.61,12.97,0,19.77,4.41
2010,32.19,13.35,0,20.06,4.53
2010,33.46,13.99,0,22.67,3.75
2010,33.74,15.23,0,23.86,2.95
2010,35.09,15.92,0,26.03,2.65
2010,35.46,16.41,0,27.62,2.43
2010,36.94,18.95,0,31.32,1.92
2010,33.5,21.81,0,40.25,1.16
2010,37.11,21.02,0.01,40.37,0.81
2010,36.61,21.05,0.01,40.23,1.23
2010,37.19,20.54,0.01,39.95,1.35
2010,38.06,19.98,0,30.06,1.34
2010,37.99,18.05,0.82,22.37,2.78
2010,38.05,18.9,0.63,23.51,3.24
2010,36.78,19.23,0,19.32,4.53
2010,37.02,17.83,0.11,19.52,3.12
2010,35.45,17.44,0,18.65,3.84
2010,33.91,17.12,0,18.26,4.73
2010,33.06,17,0,18.66,5.14
2010,33.27,15.57,0,21.14,3.81
2010,34.92,15.14,0,21.9,2.65
2010,35.18,16.95,0,24.48,2.35
2010,35.28,19.52,0.03,28.11,1.3
2010,36.48,19.99,0.03,25.68,1.49
2010,35.24,20.36,0.02,32.48,1.42
2010,35.42,21.09,0.01,28.82,1.55
2010,37.75,20.97,0.01,30.55,1.25
2010,35.17,20.38,0,46.26,2.12
2010,36.79,20.74,0,45.75,1.22
2010,38.96,21.46,0,33.94,2
2010,39.78,19.84,0,21.44,2.88
2010,40.13,20.13,0,23.09,3.42
2010,39.72,21.44,0,30.18,1.83
2010,36.82,19.97,0,38.36,1.32
2010,39.42,18.67,0,21.59,2.39
2010,39.33,19.71,0,27.39,2.4
2010,39.22,19.91,0,31.06,2.51
2010,39.25,17.22,0,15.07,2.47
2010,39.69,18.55,0.02,22.8,2.63
2010,38.39,18.94,0,17.29,3.5
2010,38.74,19.15,0.06,14.73,4.08
2010,38.18,18.72,0,14.4,4.14
2010,38.19,20.07,0,13.9,4.61
2010,37.86,20.67,0,14.09,4.27
2010,37.33,19.17,0,13.93,3.74
2010,38.7,19.89,0,13.33,3.25
2010,39.47,19.03,0,15.36,2.64
2010,38.6,20.46,0.08,27.27,1.49
2010,37.45,22.65,0.05,34.48,1.12
2010,33.89,21.7,0.1,56.56,2.85
2010,31.17,23.25,0.05,65.24,2.99
