,T2m_Max,T2m_Min,Precipitation,Relative_humidity_2_m,Wind_speed_2_m,Soil_pH,Nitrogen_mgkg,Phosphorus_mgkg,Potassium_mgkg,Organic_Matter_%,Soil_Moisture_%,Distance_to_Water_km
T2m_Max,1.0,0.79,-0.84,-0.9,-0.06,0.04,0.17,-0.12,0.17,-0.07,-0.01,-0.11
T2m_Min,0.79,1.0,-0.58,-0.66,-0.19,0.15,0.04,-0.1,0.16,-0.13,-0.04,-0.11
Precipitation,-0.84,-0.58,1.0,0.65,0.14,0.02,-0.14,0.16,-0.13,0.02,0.0,0.13
Relative_humidity_2_m,-0.9,-0.66,0.65,1.0,-0.31,-0.03,-0.2,0.13,-0.1,0.07,0.02,0.07
Wind_speed_2_m,-0.06,-0.19,0.14,-0.31,1.0,0.04,0.14,-0.11,-0.17,0.04,-0.07,0.07
Soil_pH,0.04,0.15,0.02,-0.03,0.04,1.0,0.04,0.06,-0.06,-0.0,-0.06,0.01
Nitrogen_mgkg,0.17,0.04,-0.14,-0.2,0.14,0.04,1.0,-0.03,0.02,-0.03,0.19,0.06
Phosphorus_mgkg,-0.12,-0.1,0.16,0.13,-0.11,0.06,-0.03,1.0,0.07,-0.02,0.21,-0.06
Potassium_mgkg,0.17,0.16,-0.13,-0.1,-0.17,-0.06,0.02,0.07,1.0,-0.09,0.05,0.01
Organic_Matter_%,-0.07,-0.13,0.02,0.07,0.04,-0.0,-0.03,-0.02,-0.09,1.0,-0.12,-0.1
Soil_Moisture_%,-0.01,-0.04,0.0,0.02,-0.07,-0.06,0.19,0.21,0.05,-0.12,1.0,-0.46
Distance_to_Water_km,-0.11,-0.11,0.13,0.07,0.07,0.01,0.06,-0.06,0.01,-0.1,-0.46,1.0
